File: Image_12133.jpg, Predicted: texting, Actual: running
File: Image_4650.jpg, Predicted: calling, Actual: texting
File: Image_364.jpg, Predicted: using_laptop, Actual: sleeping
File: Image_8947.jpg, Predicted: calling, Actual: listening_to_music
File: Image_9219.jpg, Predicted: using_laptop, Actual: running
File: Image_8613.jpg, Predicted: cycling, Actual: hugging
File: Image_8021.jpg, Predicted: using_laptop, Actual: running
File: Image_4806.jpg, Predicted: using_laptop, Actual: drinking
File: Image_1149.jpg, Predicted: sleeping, Actual: drinking
File: Image_4837.jpg, Predicted: eating, Actual: using_laptop
File: Image_139.jpg, Predicted: eating, Actual: drinking
File: Image_9071.jpg, Predicted: sleeping, Actual: running
File: Image_3022.jpg, Predicted: laughing, Actual: dancing
File: Image_5005.jpg, Predicted: listening_to_music, Actual: running
File: Image_5889.jpg, Predicted: using_laptop, Actual: cycling
File: Image_12141.jpg, Predicted: eating, Actual: texting
File: Image_920.jpg, Predicted: cycling, Actual: sitting
File: Image_5887.jpg, Predicted: sleeping, Actual: sitting
File: Image_413.jpg, Predicted: cycling, Actual: fighting
File: Image_12210.jpg, Predicted: laughing, Actual: texting
File: Image_6166.jpg, Predicted: using_laptop, Actual: drinking
File: Image_11348.jpg, Predicted: laughing, Actual: listening_to_music
File: Image_1326.jpg, Predicted: cycling, Actual: sitting
File: Image_5907.jpg, Predicted: cycling, Actual: texting
File: Image_6742.jpg, Predicted: cycling, Actual: running
File: Image_125.jpg, Predicted: drinking, Actual: dancing
File: Image_6738.jpg, Predicted: using_laptop, Actual: dancing
File: Image_11500.jpg, Predicted: cycling, Actual: clapping
File: Image_8897.jpg, Predicted: cycling, Actual: laughing
File: Image_7123.jpg, Predicted: using_laptop, Actual: listening_to_music
File: Image_2208.jpg, Predicted: eating, Actual: fighting
File: Image_4926.jpg, Predicted: using_laptop, Actual: sitting
File: Image_11102.jpg, Predicted: cycling, Actual: fighting
File: Image_6844.jpg, Predicted: eating, Actual: using_laptop
File: Image_7651.jpg, Predicted: sleeping, Actual: using_laptop
File: Image_2400.jpg, Predicted: using_laptop, Actual: sitting
File: Image_4311.jpg, Predicted: eating, Actual: drinking
File: Image_11868.jpg, Predicted: using_laptop, Actual: laughing
File: Image_825.jpg, Predicted: cycling, Actual: sitting
File: Image_4255.jpg, Predicted: cycling, Actual: fighting
File: Image_12528.jpg, Predicted: eating, Actual: hugging
File: Image_9425.jpg, Predicted: cycling, Actual: running
File: Image_8557.jpg, Predicted: laughing, Actual: drinking
File: Image_4871.jpg, Predicted: using_laptop, Actual: dancing
File: Image_41.jpg, Predicted: laughing, Actual: calling
File: Image_8850.jpg, Predicted: laughing, Actual: using_laptop
File: Image_11925.jpg, Predicted: cycling, Actual: sitting
File: Image_3280.jpg, Predicted: using_laptop, Actual: sitting
File: Image_5583.jpg, Predicted: dancing, Actual: listening_to_music
File: Image_1006.jpg, Predicted: using_laptop, Actual: fighting
File: Image_363.jpg, Predicted: laughing, Actual: hugging
File: Image_12208.jpg, Predicted: using_laptop, Actual: dancing
File: Image_6409.jpg, Predicted: eating, Actual: drinking
File: Image_9249.jpg, Predicted: cycling, Actual: calling
File: Image_12432.jpg, Predicted: cycling, Actual: running
File: Image_10457.jpg, Predicted: using_laptop, Actual: texting
File: Image_5532.jpg, Predicted: using_laptop, Actual: listening_to_music
File: Image_11355.jpg, Predicted: laughing, Actual: calling
File: Image_7035.jpg, Predicted: using_laptop, Actual: calling
File: Image_703.jpg, Predicted: clapping, Actual: fighting
File: Image_8068.jpg, Predicted: eating, Actual: fighting
File: Image_7754.jpg, Predicted: texting, Actual: calling
File: Image_8290.jpg, Predicted: eating, Actual: hugging
File: Image_5780.jpg, Predicted: using_laptop, Actual: sitting
File: Image_3331.jpg, Predicted: using_laptop, Actual: sleeping
File: Image_3708.jpg, Predicted: cycling, Actual: hugging
File: Image_585.jpg, Predicted: cycling, Actual: running
File: Image_7722.jpg, Predicted: cycling, Actual: running
File: Image_5179.jpg, Predicted: cycling, Actual: drinking
File: Image_3282.jpg, Predicted: using_laptop, Actual: texting
File: Image_7150.jpg, Predicted: cycling, Actual: running
File: Image_9847.jpg, Predicted: using_laptop, Actual: clapping
File: Image_4351.jpg, Predicted: using_laptop, Actual: calling
File: Image_3888.jpg, Predicted: cycling, Actual: clapping
File: Image_10807.jpg, Predicted: cycling, Actual: dancing
File: Image_1812.jpg, Predicted: clapping, Actual: dancing
File: Image_9417.jpg, Predicted: cycling, Actual: listening_to_music
File: Image_10983.jpg, Predicted: sleeping, Actual: clapping
File: Image_8441.jpg, Predicted: cycling, Actual: eating
File: Image_5933.jpg, Predicted: cycling, Actual: sleeping
File: Image_911.jpg, Predicted: using_laptop, Actual: cycling
File: Image_4094.jpg, Predicted: cycling, Actual: running
File: Image_1396.jpg, Predicted: eating, Actual: using_laptop
File: Image_4603.jpg, Predicted: eating, Actual: cycling
File: Image_6754.jpg, Predicted: using_laptop, Actual: sleeping
File: Image_2266.jpg, Predicted: cycling, Actual: running
File: Image_10839.jpg, Predicted: eating, Actual: texting
File: Image_1215.jpg, Predicted: using_laptop, Actual: fighting
File: Image_670.jpg, Predicted: eating, Actual: clapping
File: Image_10063.jpg, Predicted: eating, Actual: hugging
File: Image_11644.jpg, Predicted: dancing, Actual: fighting
File: Image_4599.jpg, Predicted: cycling, Actual: running
File: Image_4575.jpg, Predicted: dancing, Actual: fighting
File: Image_507.jpg, Predicted: dancing, Actual: cycling
File: Image_9203.jpg, Predicted: calling, Actual: dancing
File: Image_6452.jpg, Predicted: texting, Actual: sleeping
File: Image_4689.jpg, Predicted: laughing, Actual: hugging
File: Image_1482.jpg, Predicted: using_laptop, Actual: sitting
File: Image_10491.jpg, Predicted: cycling, Actual: clapping
File: Image_7352.jpg, Predicted: eating, Actual: laughing
File: Image_1080.jpg, Predicted: cycling, Actual: clapping
File: Image_6092.jpg, Predicted: cycling, Actual: running
File: Image_6103.jpg, Predicted: cycling, Actual: sitting
File: Image_8076.jpg, Predicted: cycling, Actual: listening_to_music
File: Image_5683.jpg, Predicted: cycling, Actual: running
File: Image_11930.jpg, Predicted: eating, Actual: laughing
File: Image_1064.jpg, Predicted: eating, Actual: drinking
File: Image_12526.jpg, Predicted: cycling, Actual: running
File: Image_6247.jpg, Predicted: eating, Actual: running
File: Image_7752.jpg, Predicted: cycling, Actual: dancing
File: Image_7614.jpg, Predicted: laughing, Actual: listening_to_music
File: Image_10934.jpg, Predicted: using_laptop, Actual: calling
File: Image_4895.jpg, Predicted: laughing, Actual: sleeping
File: Image_3508.jpg, Predicted: eating, Actual: texting
File: Image_302.jpg, Predicted: using_laptop, Actual: hugging
File: Image_439.jpg, Predicted: clapping, Actual: laughing
File: Image_7811.jpg, Predicted: using_laptop, Actual: sleeping
File: Image_1952.jpg, Predicted: cycling, Actual: running
File: Image_6564.jpg, Predicted: clapping, Actual: fighting
File: Image_7531.jpg, Predicted: dancing, Actual: hugging
File: Image_9855.jpg, Predicted: laughing, Actual: listening_to_music
File: Image_4918.jpg, Predicted: calling, Actual: listening_to_music
File: Image_3621.jpg, Predicted: eating, Actual: sleeping
File: Image_1417.jpg, Predicted: using_laptop, Actual: hugging
File: Image_637.jpg, Predicted: laughing, Actual: clapping
File: Image_9192.jpg, Predicted: using_laptop, Actual: texting
File: Image_5445.jpg, Predicted: using_laptop, Actual: dancing
File: Image_9798.jpg, Predicted: using_laptop, Actual: running
File: Image_12380.jpg, Predicted: using_laptop, Actual: sleeping
File: Image_9891.jpg, Predicted: cycling, Actual: drinking
File: Image_12055.jpg, Predicted: sleeping, Actual: hugging
File: Image_9739.jpg, Predicted: running, Actual: calling
File: Image_6675.jpg, Predicted: laughing, Actual: drinking
File: Image_12075.jpg, Predicted: using_laptop, Actual: laughing
File: Image_10035.jpg, Predicted: using_laptop, Actual: fighting
File: Image_10319.jpg, Predicted: using_laptop, Actual: hugging
File: Image_2900.jpg, Predicted: calling, Actual: drinking
File: Image_4671.jpg, Predicted: cycling, Actual: fighting
File: Image_5176.jpg, Predicted: clapping, Actual: eating
File: Image_7681.jpg, Predicted: eating, Actual: using_laptop
File: Image_11710.jpg, Predicted: calling, Actual: texting
File: Image_5639.jpg, Predicted: cycling, Actual: hugging
File: Image_10938.jpg, Predicted: using_laptop, Actual: clapping
File: Image_6643.jpg, Predicted: laughing, Actual: drinking
File: Image_8019.jpg, Predicted: cycling, Actual: hugging
File: Image_1788.jpg, Predicted: cycling, Actual: sitting
File: Image_1883.jpg, Predicted: dancing, Actual: clapping
File: Image_7421.jpg, Predicted: cycling, Actual: running
File: Image_11584.jpg, Predicted: dancing, Actual: fighting
File: Image_12238.jpg, Predicted: clapping, Actual: dancing
File: Image_9199.jpg, Predicted: using_laptop, Actual: clapping
File: Image_4590.jpg, Predicted: eating, Actual: texting
File: Image_431.jpg, Predicted: eating, Actual: texting
File: Image_9231.jpg, Predicted: sleeping, Actual: texting
File: Image_5122.jpg, Predicted: cycling, Actual: sleeping
File: Image_9047.jpg, Predicted: eating, Actual: running
File: Image_3820.jpg, Predicted: fighting, Actual: sleeping
File: Image_9533.jpg, Predicted: cycling, Actual: texting
File: Image_9880.jpg, Predicted: sleeping, Actual: fighting
File: Image_7386.jpg, Predicted: sleeping, Actual: fighting
File: Image_12507.jpg, Predicted: cycling, Actual: eating
File: Image_1640.jpg, Predicted: running, Actual: sitting
File: Image_3597.jpg, Predicted: eating, Actual: sitting
File: Image_9763.jpg, Predicted: clapping, Actual: fighting
File: Image_12315.jpg, Predicted: running, Actual: laughing
File: Image_8026.jpg, Predicted: cycling, Actual: sleeping
File: Image_11320.jpg, Predicted: texting, Actual: listening_to_music
File: Image_2342.jpg, Predicted: cycling, Actual: running
File: Image_9207.jpg, Predicted: using_laptop, Actual: sitting
File: Image_6871.jpg, Predicted: laughing, Actual: texting
File: Image_2775.jpg, Predicted: calling, Actual: texting
File: Image_1699.jpg, Predicted: eating, Actual: running
File: Image_3303.jpg, Predicted: laughing, Actual: listening_to_music
File: Image_7305.jpg, Predicted: laughing, Actual: hugging
File: Image_9081.jpg, Predicted: using_laptop, Actual: drinking
File: Image_10654.jpg, Predicted: cycling, Actual: eating
File: Image_12343.jpg, Predicted: using_laptop, Actual: calling
File: Image_5600.jpg, Predicted: sitting, Actual: cycling
File: Image_9970.jpg, Predicted: using_laptop, Actual: sitting
File: Image_12395.jpg, Predicted: sleeping, Actual: laughing
File: Image_9402.jpg, Predicted: fighting, Actual: eating
File: Image_45.jpg, Predicted: cycling, Actual: sleeping
File: Image_9221.jpg, Predicted: cycling, Actual: sitting
File: Image_5040.jpg, Predicted: cycling, Actual: sitting
File: Image_3093.jpg, Predicted: laughing, Actual: drinking
File: Image_11848.jpg, Predicted: cycling, Actual: hugging
File: Image_668.jpg, Predicted: eating, Actual: drinking
File: Image_6690.jpg, Predicted: using_laptop, Actual: laughing
File: Image_2018.jpg, Predicted: laughing, Actual: fighting
File: Image_49.jpg, Predicted: listening_to_music, Actual: using_laptop
File: Image_4629.jpg, Predicted: using_laptop, Actual: texting
File: Image_9011.jpg, Predicted: laughing, Actual: texting
File: Image_6448.jpg, Predicted: eating, Actual: fighting
File: Image_3239.jpg, Predicted: using_laptop, Actual: sleeping
File: Image_20.jpg, Predicted: eating, Actual: using_laptop
File: Image_11247.jpg, Predicted: using_laptop, Actual: calling
File: Image_10806.jpg, Predicted: using_laptop, Actual: sitting
File: Image_9328.jpg, Predicted: eating, Actual: running
File: Image_10300.jpg, Predicted: fighting, Actual: clapping
File: Image_10019.jpg, Predicted: cycling, Actual: calling
File: Image_7935.jpg, Predicted: laughing, Actual: hugging
